Year,Age,Année de naissance,Total
2023,< 14,2009 et après,0
2023,14,2009,0
2023,,2008,0
2023,15,2008,13
2023,,2007,16
2023,16,2007,30
2023,,2006,59
2023,17,2006,87
2023,,2005,104
2023,18,2005,171
2023,,2004,203
2023,19,2004,314
2023,,2003,348
2023,20,2003,430
2023,,2002,550
2023,21,2002,637
2023,,2001,721
2023,22,2001,920
2023,,2000,1065
2023,23,2000,1226
2023,,1999,1310
2023,24,1999,1501
2023,,1998,1715
2023,25,1998,1994
2023,,1997,2080
2023,26,1997,2547
2023,,1996,2740
2023,27,1996,3041
2023,,1995,3216
2023,28,1995,3560
2023,,1994,3859
2023,29,1994,4023
2023,,1993,4454
2023,30,1993,4749
2023,,1992,4685
2023,31,1992,4879
2023,,1991,4726
2023,32,1991,4753
2023,,1990,4343
2023,33,1990,4039
2023,,1989,3724
2023,34,1989,3565
2023,,1988,3232
2023,35,1988,3080
2023,,1987,2716
2023,36,1987,2530
2023,,1986,2247
2023,37,1986,2068
2023,,1985,1679
2023,38,1985,1532
2023,,1984,1400
2023,39,1984,1305
2023,,1983,1065
2023,40,1983,960
2023,,1982,779
2023,41,1982,676
2023,,1981,514
2023,42,1981,402
2023,,1980,363
2023,43,1980,312
2023,,1979,200
2023,44,1979,180
2023,,1978,123
2023,45,1978,82
2023,,1977,71
2023,46,1977,50
2023,,1976,20
2023,47,1976,29
2023,,1975,19
2023,48,1975,28
2023,,1974,16
2023,49,1974,13
2023,,1973,6
2023,> 49,1973 et avant,0
2023,Inconnu,,104
2023,Total,,110198
2022,< 14,2008 en later,0
2022,14,2008,0
2022,,2007,0
2022,15,2007,16
2022,,2006,22
2022,16,2006,28
2022,,2005,58
2022,17,2005,70
2022,,2004,112
2022,18,2004,179
2022,,2003,176
2022,19,2003,304
2022,,2002,382
2022,20,2002,486
2022,,2001,521
2022,21,2001,668
2022,,2000,774
2022,22,2000,955
2022,,1999,1046
2022,23,1999,1216
2022,,1998,1348
2022,24,1998,1570
2022,,1997,1729
2022,25,1997,2216
2022,,1996,2199
2022,26,1996,2657
2022,,1995,2690
2022,27,1995,3178
2022,,1994,3426
2022,28,1994,3820
2022,,1993,4201
2022,29,1993,4341
2022,,1992,4729
2022,30,1992,5049
2022,,1991,4879
2022,31,1991,4997
2022,,1990,4845
2022,32,1990,4752
2022,,1989,4464
2022,33,1989,4059
2022,,1988,3776
2022,34,1988,3678
2022,,1987,3134
2022,35,1987,2962
2022,,1986,2838
2022,36,1986,2505
2022,,1985,2283
2022,37,1985,1995
2022,,1984,1769
2022,38,1984,1624
2022,,1983,1423
2022,39,1983,1275
2022,,1982,1150
2022,40,1982,976
2022,,1981,764
2022,41,1981,723
2022,,1980,590
2022,42,1980,458
2022,,1979,341
2022,43,1979,269
2022,,1978,220
2022,44,1978,129
2022,,1977,125
2022,45,1977,82
2022,,1976,59
2022,46,1976,37
2022,,1975,50
2022,47,1975,20
2022,,1974,35
2022,48,1974,11
2022,,1973,14
2022,49,1973,4
2022,,1972,10
2022,> 49,1972 en vroeger,0
2022,Onbekend,,102
2022,Totaal,,113593
2021,< 14,2007 et après,1
2021,14,2007,4
2021,,2006,4
2021,15,2006,18
2021,,2005,24
2021,16,2005,33
2021,,2004,62
2021,17,2004,110
2021,,2003,93
2021,18,2003,156
2021,,2002,216
2021,19,2002,300
2021,,2001,381
2021,20,2001,490
2021,,2000,535
2021,21,2000,662
2021,,1999,717
2021,22,1999,908
2021,,1998,998
2021,23,1998,1236
2021,,1997,1290
2021,24,1997,1706
2021,,1996,1749
2021,25,1996,2150
2021,,1995,2281
2021,26,1995,2859
2021,,1994,2914
2021,27,1994,3454
2021,,1993,3645
2021,28,1993,4236
2021,,1992,4323
2021,29,1992,5001
2021,,1991,5018
2021,30,1991,5381
2021,,1990,5083
2021,31,1990,5450
2021,,1989,4879
2021,32,1989,5043
2021,,1988,4469
2021,33,1988,4419
2021,,1987,3768
2021,34,1987,3831
2021,,1986,3211
2021,35,1986,3061
2021,,1985,2648
2021,36,1985,2617
2021,,1984,2144
2021,37,1984,2185
2021,,1983,1724
2021,38,1983,1703
2021,,1982,1337
2021,39,1982,1356
2021,,1981,1068
2021,40,1981,942
2021,,1980,856
2021,41,1980,681
2021,,1979,519
2021,42,1979,439
2021,,1978,361
2021,43,1978,259
2021,,1977,229
2021,44,1977,156
2021,,1976,122
2021,45,1976,90
2021,,1975,62
2021,46,1975,49
2021,,1974,32
2021,47,1974,33
2021,,1973,21
2021,48,1973,23
2021,,1972,15
2021,49,1972,7
2021,,1971,7
2021,> 49,1971 et avant,17
2021,Inconnu,,43
2021,Total,,117914
2020,< 14,2006 et après,2
2020,14,2006,2
2020,,2005,12
2020,15,2005,14
2020,,2004,19
2020,16,2004,43
2020,,2003,59
2020,17,2003,99
2020,,2002,121
2020,18,2002,192
2020,,2001,229
2020,19,2001,328
2020,,2000,401
2020,20,2000,541
2020,,1999,610
2020,21,1999,691
2020,,1998,835
2020,22,1998,1011
2020,,1997,1121
2020,23,1997,1323
2020,,1996,1436
2020,24,1996,1696
2020,,1995,1826
2020,25,1995,2111
2020,,1994,2438
2020,26,1994,2757
2020,,1993,3125
2020,27,1993,3388
2020,,1992,3768
2020,28,1992,4244
2020,,1991,4473
2020,29,1991,4720
2020,,1990,4881
2020,30,1990,5106
2020,,1989,4893
2020,31,1989,4824
2020,,1988,4764
2020,32,1988,4525
2020,,1987,4046
2020,33,1987,3964
2020,,1986,3507
2020,34,1986,3367
2020,,1985,2983
2020,35,1985,2784
2020,,1984,2612
2020,36,1984,2332
2020,,1983,2070
2020,37,1983,1852
2020,,1982,1739
2020,38,1982,1549
2020,,1981,1358
2020,39,1981,1172
2020,,1980,1103
2020,40,1980,924
2020,,1979,814
2020,41,1979,617
2020,,1978,492
2020,42,1978,410
2020,,1977,341
2020,43,1977,262
2020,,1976,235
2020,44,1976,124
2020,,1975,104
2020,45,1975,71
2020,,1974,54
2020,46,1974,62
2020,,1973,30
2020,47,1973,21
2020,,1972,13
2020,48,1972,22
2020,,1971,8
2020,49,1971,7
2020,,1970,8
2020,> 49,1970 et avant,18
2020,Inconnu,,36
2020,Total,,113739
2019,< 14,2005 et après,1
2019,14,2005,1
2019,,2004,11
2019,15,2004,18
2019,,2003,24
2019,16,2003,44
2019,,2002,37
2019,17,2002,100
2019,,2001,118
2019,18,2001,184
2019,,2000,271
2019,19,2000,361
2019,,1999,397
2019,20,1999,552
2019,,1998,627
2019,21,1998,729
2019,,1997,803
2019,22,1997,1066
2019,,1996,1051
2019,23,1996,1327
2019,,1995,1474
2019,24,1995,1713
2019,,1994,1885
2019,25,1994,2347
2019,,1993,2535
2019,26,1993,2935
2019,,1992,3259
2019,27,1992,3712
2019,,1991,3988
2019,28,1991,4437
2019,,1990,4571
2019,29,1990,4946
2019,,1989,4918
2019,30,1989,5058
2019,,1988,4947
2019,31,1988,5013
2019,,1987,4594
2019,32,1987,4538
2019,,1986,4139
2019,33,1986,4004
2019,,1985,3528
2019,34,1985,3511
2019,,1984,3056
2019,35,1984,3047
2019,,1983,2593
2019,36,1983,2480
2019,,1982,2134
2019,37,1982,1996
2019,,1981,1692
2019,38,1981,1603
2019,,1980,1432
2019,39,1980,1373
2019,,1979,1135
2019,40,1979,877
2019,,1978,784
2019,41,1978,679
2019,,1977,519
2019,42,1977,448
2019,,1976,315
2019,43,1976,306
2019,,1975,175
2019,44,1975,129
2019,,1974,100
2019,45,1974,84
2019,,1973,64
2019,46,1973,51
2019,,1972,31
2019,47,1972,35
2019,,1971,14
2019,48,1971,16
2019,,1970,13
2019,49,1970,8
2019,,1969,9
2019,> 49,1969 et avant,23
2019,Inconnu,,108
2019,Total,,117103
2018,< 14,2004 en later,2
2018,14,2004,7
2018,,2003,11
2018,15,2003,15
2018,,2002,22
2018,16,2002,45
2018,,2001,65
2018,17,2001,112
2018,,2000,144
2018,18,2000,204
2018,,1999,239
2018,19,1999,388
2018,,1998,460
2018,20,1998,563
2018,,1997,614
2018,21,1997,756
2018,,1996,807
2018,22,1996,1043
2018,,1995,1175
2018,23,1995,1434
2018,,1994,1485
2018,24,1994,1800
2018,,1993,2040
2018,25,1993,2450
2018,,1992,2614
2018,26,1992,3159
2018,,1991,3348
2018,27,1991,3843
2018,,1990,4072
2018,28,1990,4458
2018,,1989,4556
2018,29,1989,4978
2018,,1988,4944
2018,30,1988,5332
2018,,1987,4879
2018,31,1987,4868
2018,,1986,4565
2018,32,1986,4601
2018,,1985,4031
2018,33,1985,3961
2018,,1984,3548
2018,34,1984,3410
2018,,1983,3044
2018,35,1983,2927
2018,,1982,2686
2018,36,1982,2404
2018,,1981,2090
2018,37,1981,1940
2018,,1980,1803
2018,38,1980,1554
2018,,1979,1415
2018,39,1979,1238
2018,,1978,1034
2018,40,1978,942
2018,,1977,767
2018,41,1977,611
2018,,1976,533
2018,42,1976,418
2018,,1975,275
2018,43,1975,259
2018,,1974,188
2018,44,1974,135
2018,,1973,105
2018,45,1973,90
2018,,1972,67
2018,46,1972,37
2018,,1971,26
2018,47,1971,21
2018,,1970,14
2018,48,1970,22
2018,,1969,12
2018,49,1969,12
2018,,1968,7
2018,> 49,1968 en daarvoor,24
2018,Onbekend,,52
2018,Totaal,,117800
2017,< 14,2003 en later,2
2017,14,2003,8
2017,,2002,5
2017,15,2002,19
2017,,2001,34
2017,16,2001,51
2017,,2000,73
2017,17,2000,108
2017,,1999,157
2017,18,1999,219
2017,,1998,270
2017,19,1998,396
2017,,1997,471
2017,20,1997,562
2017,,1996,643
2017,21,1996,788
2017,,1995,890
2017,22,1995,1142
2017,,1994,1213
2017,23,1994,1447
2017,,1993,1663
2017,24,1993,2016
2017,,1992,2205
2017,25,1992,2673
2017,,1991,2769
2017,26,1991,3361
2017,,1990,3513
2017,27,1990,4049
2017,,1989,4191
2017,28,1989,4501
2017,,1988,4693
2017,29,1988,5013
2017,,1987,4861
2017,30,1987,5126
2017,,1986,4719
2017,31,1986,4999
2017,,1985,4403
2017,32,1985,4370
2017,,1984,4062
2017,33,1984,3907
2017,,1983,3402
2017,34,1983,3445
2017,,1982,3079
2017,35,1982,2849
2017,,1981,2570
2017,36,1981,2521
2017,,1980,2113
2017,37,1980,2102
2017,,1979,1682
2017,38,1979,1620
2017,,1978,1328
2017,39,1978,1248
2017,,1977,1034
2017,40,1977,916
2017,,1976,704
2017,41,1976,626
2017,,1975,493
2017,42,1975,415
2017,,1974,297
2017,43,1974,262
2017,,1973,177
2017,44,1973,131
2017,,1972,85
2017,45,1972,70
2017,,1971,52
2017,46,1971,39
2017,,1970,24
2017,47,1970,22
2017,,1969,24
2017,48,1969,11
2017,,1968,15
2017,49,1968,4
2017,,1967,6
2017,> 49,1967 en vroeger,22
2017,Onbekend,,122
2017,Totaal,,119102
2016,< 14,2002 en later,0
2016,14,2002,8
2016,,2001,8
2016,15,2001,14
2016,,2000,24
2016,16,2000,51
2016,,1999,72
2016,17,1999,135
2016,,1998,158
2016,18,1998,237
2016,,1997,289
2016,19,1997,420
2016,,1996,502
2016,20,1996,668
2016,,1995,732
2016,21,1995,810
2016,,1994,935
2016,22,1994,1205
2016,,1993,1401
2016,23,1993,1622
2016,,1992,1808
2016,24,1992,2234
2016,,1991,2375
2016,25,1991,2699
2016,,1990,2932
2016,26,1990,3495
2016,,1989,3711
2016,27,1989,4108
2016,,1988,4296
2016,28,1988,4783
2016,,1987,4831
2016,29,1987,5030
2016,,1986,5038
2016,30,1986,5090
2016,,1985,4794
2016,31,1985,4876
2016,,1984,4374
2016,32,1984,4443
2016,,1983,3975
2016,33,1983,3924
2016,,1982,3608
2016,34,1982,3416
2016,,1981,3000
2016,35,1981,2987
2016,,1980,2654
2016,36,1980,2504
2016,,1979,2145
2016,37,1979,1856
2016,,1978,1666
2016,38,1978,1598
2016,,1977,1259
2016,39,1977,1157
2016,,1976,1047
2016,40,1976,886
2016,,1975,689
2016,41,1975,521
2016,,1974,443
2016,42,1974,376
2016,,1973,298
2016,43,1973,229
2016,,1972,181
2016,44,1972,124
2016,,1971,98
2016,45,1971,63
2016,,1970,52
2016,46,1970,39
2016,,1969,34
2016,47,1969,16
2016,,1968,21
2016,48,1968,15
2016,,1967,8
2016,49,1967,2
2016,,1966,2
2016,> 49,1966 en vroeger,15
2016,Onbekend,,45
2016,Totaal,,121161
2015,< 14,2001 en later,4
2015,14,2001,9
2015,,2000,7
2015,15,2000,17
2015,,1999,31
2015,16,1999,51
2015,,1998,86
2015,17,1998,144
2015,,1997,169
2015,18,1997,250
2015,,1996,318
2015,19,1996,464
2015,,1995,515
2015,20,1995,613
2015,,1994,716
2015,21,1994,896
2015,,1993,1046
2015,22,1993,1348
2015,,1992,1469
2015,23,1992,1667
2015,,1991,1831
2015,24,1991,2273
2015,,1990,2452
2015,25,1990,2827
2015,,1989,3066
2015,26,1989,3450
2015,,1988,3725
2015,27,1988,4282
2015,,1987,4323
2015,28,1987,4747
2015,,1986,4883
2015,29,1986,5080
2015,,1985,4831
2015,30,1985,5123
2015,,1984,4769
2015,31,1984,4829
2015,,1983,4470
2015,32,1983,4453
2015,,1982,4010
2015,33,1982,3790
2015,,1981,3475
2015,34,1981,3402
2015,,1980,3108
2015,35,1980,3146
2015,,1979,2507
2015,36,1979,2422
2015,,1978,2005
2015,37,1978,1917
2015,,1977,1666
2015,38,1977,1453
2015,,1976,1276
2015,39,1976,1182
2015,,1975,977
2015,40,1975,826
2015,,1974,677
2015,41,1974,588
2015,,1973,472
2015,42,1973,373
2015,,1972,299
2015,43,1972,230
2015,,1971,154
2015,44,1971,103
2015,,1970,88
2015,45,1970,68
2015,,1969,54
2015,46,1969,32
2015,,1968,33
2015,47,1968,23
2015,,1967,11
2015,48,1967,16
2015,,1966,6
2015,49,1966,6
2015,,1965,8
2015,> 49,1965 en vroeger,14
2015,Onbekend,,62
2015,Totaal,,121713
2014,< 14,2000 en later,3
2014,14,2000,1
2014,,1999,6
2014,15,1999,20
2014,,1998,30
2014,16,1998,71
2014,,1997,107
2014,17,1997,156
2014,,1996,177
2014,18,1996,283
2014,,1995,326
2014,19,1995,455
2014,,1994,564
2014,20,1994,703
2014,,1993,857
2014,21,1993,933
2014,,1992,1140
2014,22,1992,1446
2014,,1991,1502
2014,23,1991,1836
2014,,1990,2052
2014,24,1990,2256
2014,,1989,2582
2014,25,1989,2911
2014,,1988,3261
2014,26,1988,3743
2014,,1987,3794
2014,27,1987,4295
2014,,1986,4460
2014,28,1986,4742
2014,,1985,4824
2014,29,1985,5018
2014,,1984,5024
2014,30,1984,5156
2014,,1983,4941
2014,31,1983,4991
2014,,1982,4548
2014,32,1982,4462
2014,,1981,4164
2014,33,1981,3878
2014,,1980,3578
2014,34,1980,3479
2014,,1979,3148
2014,35,1979,2897
2014,,1978,2513
2014,36,1978,2445
2014,,1977,2143
2014,37,1977,1860
2014,,1976,1630
2014,38,1976,1446
2014,,1975,1219
2014,39,1975,1149
2014,,1974,974
2014,40,1974,849
2014,,1973,712
2014,41,1973,602
2014,,1972,533
2014,42,1972,370
2014,,1971,274
2014,43,1971,230
2014,,1970,161
2014,44,1970,107
2014,,1969,85
2014,45,1969,62
2014,,1968,49
2014,46,1968,26
2014,,1967,17
2014,47,1967,19
2014,,1966,16
2014,48,1966,8
2014,,1965,11
2014,49,1965,6
2014,,1964,6
2014,> 49,1964 en vroeger,21
2014,Onbekend,,52
2014,Totaal,,124415
2013,< 14,1999 en later,2
2013,14,1999,4
2013,,1998,14
2013,15,1998,12
2013,,1997,39
2013,16,1997,72
2013,,1996,116
2013,17,1996,156
2013,,1995,195
2013,18,1995,259
2013,,1994,353
2013,19,1994,510
2013,,1993,559
2013,20,1993,738
2013,,1992,913
2013,21,1992,1083
2013,,1991,1272
2013,22,1991,1485
2013,,1990,1624
2013,23,1990,1923
2013,,1989,2108
2013,24,1989,2326
2013,,1988,2628
2013,25,1988,2983
2013,,1987,3264
2013,26,1987,3827
2013,,1986,3949
2013,27,1986,4373
2013,,1985,4447
2013,28,1985,4849
2013,,1984,4919
2013,29,1984,5018
2013,,1983,4924
2013,30,1983,5083
2013,,1982,5032
2013,31,1982,4906
2013,,1981,4601
2013,32,1981,4448
2013,,1980,4115
2013,33,1980,4031
2013,,1979,3544
2013,34,1979,3379
2013,,1978,2992
2013,35,1978,2890
2013,,1977,2457
2013,36,1977,2250
2013,,1976,1965
2013,37,1976,1903
2013,,1975,1532
2013,38,1975,1429
2013,,1974,1282
2013,39,1974,1116
2013,,1973,976
2013,40,1973,767
2013,,1972,648
2013,41,1972,581
2013,,1971,468
2013,42,1971,371
2013,,1970,310
2013,43,1970,226
2013,,1969,151
2013,44,1969,106
2013,,1968,94
2013,45,1968,60
2013,,1967,36
2013,46,1967,30
2013,,1966,23
2013,47,1966,9
2013,,1965,11
2013,48,1965,7
2013,,1964,4
2013,49,1964,2
2013,,1963,1
2013,> 49,1963 en vroeger,7
2013,Onbekend,,75
2013,Totaal,,124862